number_dynamic_obstacles,average_obstalce_size,map_size,average_linear_velocity,occupancy_ratio,entropy
4,0.7,1250,0.65,0.2888,0.0153
12,0.5,4050,0.68,0.5009,0.0307
9,0.46,2450,0.61,0.211,0.0277
2,0.55,1250,0.76,0.3452,0.0136
8,0.61,4050,0.52,0.616,0.0256
8,0.44,4050,0.58,0.4584,0.0319
2,0.8,1250,0.69,0.378,0.0133
3,0.4,2450,0.65,0.5661,0.0176
3,0.53,2450,0.77,0.4524,0.0227
3,0.45,2450,0.28,0.4665,0.0222
6,0.39,2450,0.63,0.3402,0.0258
0,0.0,1250,0.0,0.3788,0.0132
0,0.0,4050,0.0,0.4446,0.0335
0,0.0,1250,0.0,0.576,0.0094
4,0.7,1250,0.64,0.3732,0.0137
0,0.0,1250,0.0,0.3652,0.0133
0,0.0,2450,0.0,0.3071,0.0258
2,0.84,1250,0.57,0.4236,0.0121
8,0.51,4050,0.57,0.7136,0.0203
0,0.0,4050,0.0,0.6281,0.0233
4,0.57,4050,0.27,0.3756,0.0367
8,0.49,4050,0.5,0.4168,0.0341
0,0.0,1250,0.0,0.6376,0.0086
0,0.0,2450,0.0,0.4808,0.0207
6,0.51,1250,0.35,0.3024,0.014
4,0.52,1250,0.58,0.412,0.0127
6,0.62,1250,0.59,0.454,0.0116
2,0.71,1250,0.56,0.208,0.0153
12,0.6,4050,0.43,0.46,0.0324
0,0.0,4050,0.0,0.3709,0.0372
4,0.58,1250,0.39,0.4188,0.0125
9,0.58,2450,0.5,0.3629,0.0239
2,0.62,1250,0.49,0.3268,0.0141
12,0.42,4050,0.56,0.7532,0.0178
8,0.46,4050,0.6,0.539,0.0291
8,0.5,4050,0.64,0.468,0.033
4,0.54,4050,0.41,0.7677,0.0165
4,0.61,4050,0.66,0.6356,0.0233
3,0.78,2450,0.7,0.429,0.0217
4,0.5,4050,0.55,0.297,0.039
0,0.0,2450,0.0,0.3259,0.0252
6,0.48,2450,0.76,0.5271,0.019
6,0.47,2450,0.5,0.2918,0.0257
8,0.43,4050,0.53,0.5902,0.0268
4,0.64,4050,0.43,0.5399,0.0281
4,0.61,1250,0.76,0.1888,0.0161
6,0.63,1250,0.4,0.2128,0.0156
6,0.77,2450,0.76,0.4218,0.0227
12,0.54,4050,0.64,0.4532,0.0336
4,0.48,1250,0.52,0.464,0.0119
2,0.3,1250,0.49,0.512,0.0105
8,0.44,4050,0.48,0.7506,0.0178
6,0.59,2450,0.42,0.2871,0.0268
0,0.0,1250,0.0,0.1512,0.0166
0,0.0,2450,0.0,0.2133,0.0276
8,0.54,4050,0.49,0.3893,0.0351
4,0.56,1250,0.47,0.2376,0.0153
4,0.19,1250,0.43,0.3804,0.0128
12,0.5,4050,0.49,0.4842,0.0307
12,0.52,4050,0.55,0.479,0.0332
6,0.58,1250,0.65,0.384,0.0134
8,0.63,4050,0.54,0.7386,0.0186
4,0.3,1250,0.62,0.5652,0.01
0,0.0,4050,0.0,0.2569,0.0402
3,0.65,2450,0.34,0.351,0.0258
8,0.53,4050,0.56,0.6507,0.0229
0,0.0,1250,0.0,0.4844,0.0119
0,0.0,2450,0.0,0.4847,0.0212
0,0.0,4050,0.0,0.4044,0.0351
12,0.66,4050,0.62,0.5788,0.0273
12,0.46,4050,0.55,0.5038,0.0306
0,0.0,3150,0.0,0.3308,0.031
0,0.0,3150,0.0,0.1721,0.0347
9,0.52,3150,0.6,0.5751,0.0226
6,0.38,2450,0.59,0.4873,0.0213
6,0.6,2250,0.45,0.2322,0.0249
3,0.69,2250,0.38,0.47,0.0192
8,0.57,4050,0.31,0.2084,0.041
4,0.53,4050,0.61,0.7744,0.0162
9,0.63,2250,0.44,0.7087,0.0124
9,0.53,2250,0.57,0.5902,0.0159
9,0.48,3150,0.44,0.3159,0.0308
6,0.75,3150,0.46,0.271,0.0327
0,0.0,2450,0.0,0.1969,0.0287
0,0.0,1750,0.0,0.2403,0.0208
2,0.37,1250,0.67,0.1784,0.016
3,0.77,3150,0.63,0.6465,0.0185
6,0.51,1250,0.63,0.296,0.0145
6,0.58,2450,0.61,0.2076,0.0273
8,0.61,4050,0.43,0.3828,0.0358
8,0.55,4050,0.65,0.3821,0.0369
0,0.0,1750,0.0,0.1929,0.0213
2,0.23,1750,0.66,0.3097,0.0202
3,0.6,2250,0.8,0.548,0.0178
4,0.63,1750,0.57,0.0674,0.0219
0,0.0,1250,0.0,0.2736,0.0149
0,0.0,2250,0.0,0.5929,0.015
2,0.65,1750,0.38,0.4254,0.0172
9,0.74,2450,0.47,0.4188,0.0219
0,0.0,1750,0.0,0.6066,0.012
0,0.0,1750,0.0,0.2043,0.0212
2,0.52,1750,0.54,0.0674,0.0219
2,0.54,1750,0.45,0.2937,0.0191
6,0.57,1750,0.58,0.6277,0.0116
6,0.59,1250,0.54,0.6892,0.0085
0,0.0,4050,0.0,0.1391,0.0436
6,0.56,1750,0.54,0.2409,0.0203
6,0.63,3150,0.35,0.5517,0.0222
0,0.0,1250,0.0,0.38,0.013
9,0.45,2250,0.47,0.4487,0.0207
0,0.0,3150,0.0,0.1948,0.0359
0,0.0,3150,0.0,0.7102,0.017
3,0.6,3150,0.38,0.5716,0.0222
6,0.48,2250,0.33,0.6964,0.0126
9,0.59,2250,0.49,0.4944,0.0184
3,0.52,3150,0.56,0.7122,0.016
3,0.25,2250,0.54,0.4962,0.0186
3,0.59,2250,0.73,0.0613,0.0273
3,0.56,2250,0.39,0.236,0.0251
6,0.64,2250,0.56,0.546,0.0184
6,0.71,2450,0.46,0.3594,0.0243
0,0.0,1750,0.0,0.0674,0.0219
12,0.5,4050,0.51,0.044,0.0454
9,0.66,3150,0.62,0.2646,0.0327
6,0.57,1750,0.57,0.4634,0.0155
0,0.0,2450,0.0,0.0563,0.0295
4,0.69,4050,0.45,0.3807,0.0366
6,0.56,2250,0.75,0.4556,0.02
0,0.0,3150,0.0,0.4984,0.0243
6,0.49,1750,0.65,0.5471,0.0138
0,0.0,3150,0.0,0.2692,0.0325
3,0.64,3150,0.42,0.4763,0.0253
4,0.61,1250,0.69,0.2908,0.0148
6,0.51,2250,0.59,0.3467,0.0235
4,0.59,1750,0.87,0.3223,0.0195
6,0.56,1250,0.58,0.2488,0.0151
3,0.51,3150,0.44,0.546,0.0235
0,0.0,2250,0.0,0.3336,0.0233
0,0.0,1750,0.0,0.3389,0.0177
0,0.0,1750,0.0,0.4006,0.0176
9,0.45,2250,0.64,0.4647,0.0204
4,0.47,4050,0.58,0.1301,0.0441
9,0.7,2250,0.44,0.6544,0.0147
0,0.0,3150,0.0,0.4363,0.0281
2,0.74,1250,0.41,0.2108,0.0157
4,0.69,4050,0.44,0.476,0.032
4,0.68,1750,0.4,0.3609,0.0184
9,0.6,3150,0.51,0.4576,0.0258
12,0.55,4050,0.65,0.1599,0.0449
3,0.84,3150,0.58,0.1778,0.0347
0,0.0,3150,0.0,0.1235,0.0365
6,0.72,1750,0.69,0.2606,0.0208
4,0.52,1750,0.8,0.32,0.0202
6,0.51,3150,0.56,0.676,0.0176
6,0.46,1250,0.53,0.3164,0.0149
9,0.52,2250,0.62,0.2351,0.0263
0,0.0,1750,0.0,0.5429,0.0135
8,0.63,4050,0.65,0.136,0.0454
6,0.68,2450,0.76,0.5771,0.018
9,0.58,3150,0.52,0.5405,0.0244
4,0.48,1250,0.41,0.2336,0.0151
0,0.0,2250,0.0,0.2507,0.0258
6,0.6,2450,0.44,0.6629,0.0147
6,0.71,1750,0.51,0.0674,0.0219
2,0.6,1250,0.46,0.5212,0.0111
0,0.0,1250,0.0,0.586,0.0093
9,0.64,3150,0.55,0.1751,0.0347
8,0.64,4050,0.41,0.2744,0.0409
9,0.6,3150,0.62,0.1538,0.0361
12,0.43,4050,0.57,0.5372,0.0283
6,0.5,2250,0.37,0.4629,0.0205
0,0.0,1750,0.0,0.6123,0.0128
0,0.0,4050,0.0,0.4627,0.0339
6,0.56,3150,0.54,0.414,0.0287
9,0.56,2250,0.47,0.1133,0.0273
0,0.0,4050,0.0,0.3578,0.0375
4,0.59,1750,0.65,0.2503,0.0201
8,0.56,4050,0.75,0.044,0.0454
6,0.66,2250,0.42,0.1642,0.027
0,0.0,2250,0.0,0.4073,0.0225
0,0.0,3150,0.0,0.4506,0.0268
4,0.61,1750,0.53,0.1331,0.0219
3,0.69,3150,0.73,0.3757,0.0304
0,0.0,1250,0.0,0.0784,0.0163
3,0.4,3150,0.55,0.0898,0.0367
3,0.19,3150,0.51,0.4259,0.0265
2,0.59,1750,0.44,0.0674,0.0219
0,0.0,2450,0.0,0.3288,0.0251
3,0.62,2250,0.52,0.7396,0.0117
12,0.61,4050,0.57,0.4499,0.0325
2,0.23,1750,0.64,0.4034,0.0171
9,0.6,2250,0.35,0.49,0.0191
6,0.52,1250,0.75,0.5352,0.0105
9,0.51,3150,0.58,0.4533,0.0275
6,0.42,1250,0.56,0.3092,0.0146
0,0.0,3150,0.0,0.1962,0.0359
0,0.0,2450,0.0,0.2265,0.0285
6,0.54,2450,0.51,0.1531,0.0292
6,0.53,1750,0.56,0.6017,0.0124
2,0.43,1750,0.31,0.5103,0.0153
9,0.6,2250,0.56,0.5591,0.0172
0,0.0,4050,0.0,0.044,0.0454
6,0.57,1750,0.39,0.3083,0.02
0,0.0,2250,0.0,0.0613,0.0273
6,0.5,3150,0.47,0.7446,0.0146
3,0.53,2250,0.56,0.4142,0.0202
6,0.52,1750,0.58,0.0674,0.0219
0,0.0,2450,0.0,0.3943,0.0225
3,0.8,2250,0.38,0.5273,0.0187
9,0.73,3150,0.49,0.5421,0.0226
6,0.66,3150,0.6,0.2983,0.0307
