robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
0.22,0.113,0.9,0.1,0.0,36.18,492866667158,25.0,25.0,1,15,1.5,0,0,0.0,0,180.0,0.0112,1250,2.3219,2,0.5268,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.43,0.57,0.0,65.64,1558742858699,35.0,35.0,1,45,1.5,0,0,0.0,0,270.0,0.0214,2450,2.3219,5,0.4878,0.4,0.0064,0.0,0.42,0.52,9,1,0,0,0
0.22,0.113,0.79,0.21,0.0,41.64,737844828323,25.0,25.0,1,15,2.5,0,0,0.0,0,180.0,0.0103,1250,2.3219,2,0.546,1.0,0.0002,0.0,0.34,0.41,2,1,0,0,0
0.22,0.113,0.8,0.2,0.0,52.97,936880000935,25.0,25.0,1,45,2.0,0,0,0.0,0,360.0,0.0147,1250,2.3219,1,0.2928,0.0,0.0,1.0,0.44,0.53,6,1,0,0,0
0.22,0.113,0.97,0.03,0.0,46.69,880813334212,25.0,25.0,1,70,2.5,0,0,0.0,0,180.0,0.0158,1250,2.3219,2,0.1856,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.5,0.5,0.0,88.54,2000863335332,45.0,45.0,1,15,1.5,0,0,0.0,0,180.0,0.0182,4050,2.3219,2,0.7544,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0
0.22,0.113,0.2,0.77,0.03,140.74,2603113335934,45.0,45.0,1,15,2.0,0,0,0.0,0,240.0,0.0215,4050,2.3219,3,0.672,1.0,0.0041,0.0,0.52,0.68,8,1,0,0,0
0.22,0.113,0.27,0.73,0.0,204.65,3662433336993,45.0,45.0,1,15,2.5,0,0,0.0,0,360.0,0.0239,4050,2.3219,1,0.6233,0.0,0.0,1.0,0.59,0.61,8,1,0,0,0
0.22,0.113,0.83,0.17,0.0,55.44,1145270001144,25.0,25.0,1,45,2.0,0,0,0.0,0,180.0,0.0142,1250,2.3219,2,0.2908,0.0,0.0,1.0,0.22,0.81,2,1,0,0,0
0.22,0.113,0.57,0.43,0.0,96.15,1653706668320,25.0,25.0,1,45,2.5,0,0,0.0,0,180.0,0.015,1250,2.3219,2,0.2528,0.0,0.0,1.0,0.22,0.83,4,1,0,0,0
0.22,0.113,0.03,0.93,0.03,240.15,4605503337937,45.0,45.0,1,70,1.5,0,0,0.0,0,171.4286,0.0354,4050,2.3219,17,0.4304,0.5,0.0096,0.0,0.56,0.56,12,1,0,0,0
0.22,0.113,0.07,0.87,0.07,100.87,5798960005798,35.0,35.0,1,30,2.5,0,0,0.0,0,360.0,0.0203,2450,2.3219,1,0.4716,0.0,0.0,1.0,0.67,0.74,6,1,0,0,0
0.22,0.113,0.47,0.37,0.17,60.51,3165066669829,25.0,25.0,1,15,2.0,0,0,0.0,0,360.0,0.0112,1250,2.3219,1,0.4784,0.0,0.0,1.0,0.51,0.54,2,1,0,0,0
0.22,0.113,0.87,0.13,0.0,52.09,936943334269,25.0,25.0,1,30,2.0,0,0,0.0,0,360.0,0.0112,1250,2.3219,1,0.5056,0.0,0.0,1.0,0.72,0.16,2,1,0,0,0
