robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
0.22,0.113,0.69,0.31,0.0,40.57,932672414725,35.0,35.0,1,70,2.5,0,0,0.0,0,180.0,0.0255,2450,2.3219,2,0.2882,0.0,0.0,1.0,0.49,0.59,9,0,0,0,1
0.22,0.113,1.0,0.0,0.0,48.79,1218906667884,45.0,45.0,1,70,2.0,0,0,0.0,0,216.0,0.0392,4050,2.3219,13,0.3325,0.5,0.0107,0.0,0.0,0.0,0,0,0,0,1
0.22,0.113,0.87,0.13,0.0,21.7,527173333859,25.0,25.0,1,45,1.5,0,0,0.0,0,180.0,0.0133,1250,2.3219,4,0.3796,0.5,0.008,0.0,0.44,0.55,2,0,0,0,1
0.22,0.113,0.87,0.13,0.0,24.25,478760000476,25.0,25.0,1,15,2.5,0,0,0.0,0,180.0,0.0106,1250,2.3219,3,0.5008,1.0,0.0039,0.0,0.6,0.48,2,0,0,0,1
0.22,0.113,1.0,0.0,0.0,37.27,863053334193,45.0,45.0,1,30,2.5,0,0,0.0,0,196.3636,0.0333,4050,2.3219,8,0.4438,0.6,0.0078,0.0,0.49,0.64,4,0,0,0,1
0.22,0.113,1.0,0.0,0.0,25.06,576996552298,25.0,25.0,1,45,1.5,0,0,0.0,0,90.0,0.014,1250,2.3219,5,0.3712,0.4,0.0057,0.0,0.0,0.0,0,0,0,0,1
0.22,0.113,0.8,0.2,0.0,66.57,1552416668216,45.0,45.0,1,15,2.0,0,0,0.0,0,360.0,0.0193,4050,2.3219,2,0.7143,1.0,0.0073,0.0,0.52,0.34,8,0,0,0,1
0.22,0.113,0.87,0.13,0.0,37.21,764240000763,35.0,35.0,1,30,1.5,0,0,0.0,0,120.0,0.0192,2450,2.3219,6,0.5365,0.7,0.0089,0.0,0.4,0.42,3,0,0,0,1
0.22,0.113,0.79,0.21,0.0,51.31,990914286703,35.0,35.0,1,15,2.5,0,0,0.0,0,180.0,0.0193,2450,2.3219,4,0.5131,1.0,0.0056,0.0,0.44,0.49,6,0,0,0,1
0.22,0.113,1.0,0.0,0.0,12.14,231138461769,35.0,35.0,1,15,1.5,0,0,0.0,0,180.0,0.0143,2450,2.3219,2,0.6671,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1
