robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
2.0,0.267,0.76,0.24,0.0,43.26,589096000588,25.0,25.0,1,70,2.0,0,0,0.0,0,360.0,0.0158,1250,2.3219,1,0.2008,0.0,0.0,1.0,0.58,0.37,6,0,1,0,0
0.22,0.113,1.0,0.0,0.0,38.88,647796429218,35.0,35.0,1,15,1.5,0,0,0.0,0,180.0,0.0121,2450,2.3219,2,0.7371,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0
1.1,0.625,0.77,0.23,0.0,88.41,713213334045,35.0,35.0,1,70,2.5,0,0,0.0,0,120.0,0.0278,2450,2.3219,5,0.2439,0.8,0.0077,0.0,0.59,0.45,3,0,1,0,0
1.1,0.625,0.2,0.7,0.1,80.36,4484350004481,45.0,45.0,1,70,1.5,0,0,0.0,0,200.0,0.0329,4050,2.3219,11,0.4678,0.6,0.0097,0.0,0.54,0.71,4,0,1,0,0
1.1,0.625,0.52,0.48,0.0,27.74,543200000540,35.0,35.0,1,70,1.5,0,0,0.0,0,180.0,0.0241,2450,2.3219,9,0.388,0.6,0.0096,0.0,0.46,0.56,9,0,1,0,0
1.1,0.625,0.64,0.32,0.04,51.3,1762457144619,35.0,35.0,1,15,2.5,0,0,0.0,0,180.0,0.0195,2450,2.3219,2,0.5037,0.0,0.0,1.0,0.68,0.31,3,0,1,0,0
1.1,0.625,0.59,0.33,0.07,108.79,1524237038559,25.0,25.0,1,45,2.0,0,0,0.0,0,180.0,0.0135,1250,2.3219,2,0.3748,0.0,0.0,1.0,0.31,0.32,2,0,1,0,0
2.0,0.267,0.86,0.14,0.0,47.79,448717241825,35.0,35.0,1,45,2.0,0,0,0.0,0,270.0,0.025,2450,2.3219,7,0.3516,0.7,0.0109,0.0,0.76,0.58,6,0,1,0,0
0.22,0.113,0.64,0.36,0.0,24.53,545236364179,35.0,35.0,1,15,1.5,0,0,0.0,0,180.0,0.0137,2450,2.3219,2,0.6927,0.0,0.0,1.0,0.66,0.46,3,0,1,0,0
0.22,0.113,0.76,0.24,0.0,34.91,686372414477,25.0,25.0,1,15,2.0,0,0,0.0,0,90.0,0.0097,1250,2.3219,4,0.5804,0.5,0.005,0.0,0.53,0.52,4,0,1,0,0
2.0,0.267,0.77,0.23,0.0,30.81,258984615641,25.0,25.0,1,15,2.5,0,0,0.0,0,180.0,0.0122,1250,2.3219,2,0.4272,0.0,0.0,1.0,0.53,0.55,6,0,1,0,0
2.0,0.267,0.82,0.18,0.0,38.26,304585714589,35.0,35.0,1,15,2.5,0,0,0.0,0,90.0,0.0164,2450,2.3219,4,0.5894,0.5,0.0034,0.0,0.65,0.44,6,0,1,0,0
1.1,0.625,1.0,0.0,0.0,60.34,466480000464,25.0,25.0,1,70,2.5,0,0,0.0,0,180.0,0.0155,1250,2.3219,2,0.2008,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0
2.0,0.267,0.71,0.29,0.0,31.13,277728571705,25.0,25.0,1,70,1.5,0,0,0.0,0,180.0,0.015,1250,2.3219,3,0.2756,1.0,0.0087,0.0,0.66,0.57,6,0,1,0,0
2.0,0.267,0.31,0.66,0.03,77.49,1093800001093,35.0,35.0,1,30,1.5,0,0,0.0,0,294.5455,0.022,2450,2.3219,5,0.4682,0.6,0.0105,0.0,0.58,0.68,6,0,1,0,0
1.1,0.625,0.52,0.48,0.0,71.42,870375862936,25.0,25.0,1,30,2.0,0,0,0.0,0,180.0,0.0131,1250,2.3219,4,0.3752,0.5,0.0058,0.0,0.66,0.72,6,0,1,0,0
2.0,0.267,1.0,0.0,0.0,30.98,261885714548,25.0,25.0,1,45,2.5,0,0,0.0,0,180.0,0.016,1250,2.3219,2,0.1996,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0
1.1,0.625,0.64,0.29,0.07,75.62,1128325001126,35.0,35.0,1,30,2.0,0,0,0.0,0,300.0,0.0208,2450,2.3219,4,0.4733,0.8,0.0111,0.0,0.47,0.65,3,0,1,0,0
