average_linear_velocity,average_obstalce_size,number_dynamic_obstacles
0.55,0.78,2
0.58,0.48,6
0.57,0.75,6
0.61,0.59,6
0.27,0.34,3
0.51,0.55,6
0.47,0.56,9
0.72,0.71,4
0.0,0.0,0
0.5,0.54,3
0.6,0.59,4
0.4,0.65,2
0.53,0.7,8
0.39,0.63,12
0.37,0.55,6
0.0,0.0,0
0.51,0.96,2
0.0,0.0,0
0.0,0.0,0
0.48,0.52,6
0.64,0.52,4
0.64,0.77,3
0.44,0.71,4
0.5,0.62,6
0.29,0.44,2
0.56,0.69,4
0.53,0.72,4
0.46,0.63,6
0.6,0.65,4
0.87,0.73,2
0.79,0.68,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.56,0.54,12
0.0,0.0,0
0.56,0.55,8
0.54,0.64,6
0.66,0.49,6
0.35,0.64,9
0.6,0.71,9
0.68,0.53,4
0.32,0.47,2
0.55,0.62,3
0.63,0.51,6
0.0,0.0,0
0.0,0.0,0
0.5,0.48,6
0.0,0.0,0
0.56,0.77,12
0.34,0.63,4
0.54,0.43,4
0.0,0.0,0
0.58,0.83,2
0.4,0.49,9
0.62,0.43,12
0.57,0.54,9
0.72,0.6,3
0.42,0.36,9
0.0,0.0,0
0.63,0.61,8
0.48,0.65,3
0.56,0.54,6
0.42,0.66,12
0.47,0.4,6
0.0,0.0,0
0.5,0.66,6
0.0,0.0,0
0.53,0.52,9
0.0,0.0,0
0.46,0.46,6
0.61,0.76,3
0.44,0.55,6
0.38,0.77,4
0.0,0.0,0
0.73,0.46,6
0.0,0.0,0
0.41,0.56,8
0.0,0.0,0
0.6,0.55,12
0.32,0.53,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.69,0.52,9
0.57,0.56,9
0.59,0.59,4
0.51,0.76,6
0.0,0.0,0
0.51,0.68,6
0.52,0.62,4
0.0,0.0,0
0.41,0.66,8
0.56,0.67,2
0.76,0.44,2
0.47,0.52,2
0.69,0.57,3
0.0,0.0,0
0.5,0.62,9
0.64,0.51,4
0.55,0.71,8
0.68,0.58,6
0.5,0.58,6
0.0,0.0,0
0.0,0.0,0
0.67,0.47,4
0.76,0.31,4
0.73,0.45,12
0.41,0.38,3
0.61,0.53,9
0.62,0.67,8
0.59,0.63,8
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.51,0.66,6
0.64,0.63,2
0.32,0.63,9
0.0,0.0,0
0.0,0.0,0
0.65,0.5,4
0.54,0.55,9
0.62,0.52,6
0.59,0.62,9
0.45,0.65,8
0.43,0.55,8
0.56,0.75,2
0.73,0.7,3
0.34,0.77,3
0.73,0.63,4
0.61,0.54,12
0.0,0.0,0
0.53,0.48,3
0.91,0.56,2
0.5,0.71,2
0.0,0.0,0
0.64,0.65,3
0.0,0.0,0
0.46,0.58,2
0.62,0.53,12
0.7,0.68,4
0.0,0.0,0
0.36,0.61,2
0.46,0.76,4
0.62,0.58,4
0.56,0.47,8
0.3,0.51,3
0.57,0.63,2
0.59,0.53,12
0.0,0.0,0
0.54,0.61,3
0.0,0.0,0
0.0,0.0,0
0.5,0.61,6
0.58,0.82,6
0.0,0.0,0
0.46,0.63,8
0.0,0.0,0
0.46,0.5,3
0.56,0.51,3
0.58,0.61,3
0.66,0.76,4
0.44,0.59,9
0.0,0.0,0
0.48,0.67,4
0.61,0.46,4
0.61,0.57,8
0.32,0.46,4
0.54,0.41,4
0.58,0.51,4
