average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,occupancy_ratio,indoor_map_type
0.3,0.46,8,0.6088,1
0.58,0.7,6,0.2492,1
0.49,0.77,4,0.3528,1
0.0,0.0,0,0.513,1
0.52,0.43,6,0.5294,1
0.45,0.63,4,0.4606,1
0.57,0.59,12,0.3544,1
0.68,0.7,9,0.3955,1
0.61,0.56,12,0.4688,1
0.58,0.6,6,0.3696,1
0.46,0.75,6,0.4348,1
0.0,0.0,0,0.6753,1
0.5,0.32,6,0.291,1
0.57,0.5,12,0.6398,1
0.52,0.54,12,0.64,1
0.55,0.49,4,0.2168,1
0.48,0.32,3,0.2643,1
0.44,0.77,4,0.2376,1
0.6,0.72,2,0.6128,1
0.49,0.53,8,0.6432,1
0.62,0.53,8,0.5707,1
0.78,0.5,8,0.6336,1
0.65,0.58,9,0.4437,1
0.0,0.0,0,0.3012,1
0.47,0.55,6,0.5124,1
0.59,0.53,9,0.3894,1
0.0,0.0,0,0.1696,1
0.65,0.69,4,0.591,1
0.56,0.51,2,0.5488,1
0.62,0.4,4,0.6436,1
0.48,0.51,3,0.4173,1
0.69,0.47,8,0.4181,1
0.42,0.59,6,0.436,1
0.47,0.8,8,0.3237,1
0.0,0.0,0,0.3382,1
0.0,0.0,0,0.3536,1
0.0,0.0,0,0.182,1
0.68,0.69,4,0.4984,1
0.55,0.58,12,0.5848,1
0.0,0.0,0,0.3684,1
0.51,0.41,3,0.362,1
0.48,0.45,8,0.6886,1
0.55,0.54,3,0.3557,1
0.53,0.69,4,0.4832,1
0.56,0.59,6,0.3378,1
0.67,0.59,8,0.5978,1
0.52,0.48,4,0.7743,1
0.57,0.38,4,0.6378,1
0.52,0.45,4,0.5517,1
0.43,0.37,4,0.6267,1
0.42,0.46,6,0.312,1
0.5,0.42,9,0.2616,1
0.65,0.59,12,0.4815,1
0.58,0.53,8,0.3991,1
0.62,0.66,6,0.2628,1
0.53,0.68,4,0.6889,1
0.58,0.44,4,0.5492,1
0.69,0.67,8,0.2912,1
0.35,0.49,6,0.2524,1
0.58,0.39,2,0.316,1
0.73,0.39,2,0.412,1
0.69,0.53,8,0.2922,1
0.0,0.0,0,0.3924,1
0.68,0.59,6,0.6071,1
0.64,0.41,8,0.7378,1
0.39,0.65,4,0.3416,1
0.42,0.62,12,0.4986,1
0.43,0.62,9,0.4804,1
0.76,0.93,2,0.2176,1
0.66,0.54,6,0.4533,1
0.35,0.63,6,0.5049,1
0.48,0.4,6,0.24,1
0.49,0.61,4,0.5531,1
0.48,0.49,8,0.3193,1
0.59,0.65,9,0.5261,1
0.47,0.66,6,0.408,1
0.42,0.82,6,0.4465,1
0.67,0.44,4,0.4468,1
0.89,0.95,2,0.3888,1
0.78,0.47,9,0.601,1
0.48,0.55,9,0.5224,1
0.73,0.49,4,0.437,1
0.52,0.54,12,0.3457,1
0.55,0.38,2,0.2464,1
0.47,0.57,12,0.3285,1
0.47,0.63,12,0.4373,1
0.66,0.58,8,0.6717,1
