width,height,number_dynamic_obstacles,average_obstalce_size,map_size,average_linear_velocity
25.0,25.0,6,0.32,1250,0.49
35.0,35.0,3,0.53,2450,0.59
35.0,35.0,3,0.29,2450,0.58
25.0,25.0,6,0.57,1250,0.57
25.0,25.0,2,0.55,1250,0.43
35.0,35.0,0,0.0,2450,0.0
25.0,25.0,6,0.65,1250,0.56
35.0,35.0,3,0.44,2450,0.55
25.0,25.0,6,0.77,1250,0.52
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,4,0.61,4050,0.34
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,0,0.0,2450,0.0
25.0,25.0,6,0.4,1250,0.63
45.0,45.0,12,0.48,4050,0.49
35.0,35.0,9,0.61,2450,0.47
45.0,45.0,8,0.63,4050,0.71
25.0,25.0,0,0.0,1250,0.0
35.0,35.0,6,0.64,2450,0.46
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,6,0.62,2450,0.53
35.0,35.0,6,0.6,2450,0.4
45.0,45.0,12,0.64,4050,0.63
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,3,0.37,2450,0.47
25.0,25.0,2,0.65,1250,0.78
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,8,0.53,4050,0.58
45.0,45.0,8,0.56,4050,0.76
25.0,25.0,6,0.6,1250,0.4
45.0,45.0,0,0.0,4050,0.0
45.0,45.0,4,0.62,4050,0.62
45.0,25.0,6,0.51,2250,0.55
45.0,45.0,12,0.62,4050,0.41
25.0,25.0,4,0.53,1250,0.63
25.0,35.0,6,0.57,1750,0.35
45.0,35.0,9,0.65,3150,0.63
35.0,25.0,6,0.37,1750,0.62
25.0,45.0,6,0.47,2250,0.62
25.0,35.0,2,0.51,1750,0.51
35.0,25.0,2,0.46,1750,0.55
25.0,35.0,6,0.58,1750,0.49
35.0,35.0,9,0.6,2450,0.66
45.0,25.0,9,0.24,2250,0.67
25.0,45.0,0,0.0,2250,0.0
35.0,35.0,0,0.0,2450,0.0
25.0,45.0,9,0.6,2250,0.77
45.0,45.0,4,0.63,4050,0.55
45.0,35.0,0,0.0,3150,0.0
35.0,45.0,9,0.58,3150,0.47
35.0,25.0,4,0.59,1750,0.5
45.0,25.0,6,0.56,2250,0.61
35.0,35.0,6,0.38,2450,0.55
35.0,25.0,4,0.67,1750,0.29
45.0,45.0,4,0.55,4050,0.43
35.0,45.0,9,0.58,3150,0.64
45.0,45.0,8,0.52,4050,0.61
45.0,45.0,12,0.59,4050,0.73
35.0,25.0,0,0.0,1750,0.0
35.0,45.0,9,0.43,3150,0.42
35.0,25.0,0,0.0,1750,0.0
25.0,45.0,9,0.54,2250,0.51
25.0,35.0,0,0.0,1750,0.0
25.0,25.0,6,0.54,1250,0.47
25.0,25.0,2,0.68,1250,0.72
35.0,45.0,6,0.54,3150,0.45
25.0,45.0,6,0.43,2250,0.64
25.0,45.0,6,0.78,2250,0.38
45.0,45.0,8,0.55,4050,0.48
45.0,25.0,9,0.54,2250,0.48
25.0,45.0,3,0.43,2250,0.4
45.0,45.0,0,0.0,4050,0.0
25.0,45.0,6,0.61,2250,0.67
25.0,35.0,2,0.44,1750,0.28
45.0,35.0,9,0.7,3150,0.65
25.0,35.0,6,0.74,1750,0.53
25.0,45.0,6,0.57,2250,0.42
45.0,35.0,3,0.69,3150,0.82
35.0,35.0,3,0.54,2450,0.31
35.0,35.0,6,0.54,2450,0.58
25.0,25.0,2,0.77,1250,0.71
