width,average_obstalce_size,robot_max_speed,occupancy_ratio,height,iterations,number_dynamic_obstacles,distance_variance,num_obs_cv2,corridor_width,num_static_obstacles,distance_normalized,distance_avg,average_linear_velocity,robot_radius
25.0,0.65,0.22,0.5188,25.0,15,6,0.0,4,1.5,0,0.5,0.0073,0.52,0.113
25.0,0.64,1.1,0.5264,25.0,15,4,0.0,2,2.5,0,1.0,0.0023,0.57,0.625
35.0,0.54,1.1,0.3402,35.0,45,9,0.0,6,2.0,0,0.3,0.0063,0.56,0.625
45.0,0.0,1.1,0.5937,45.0,30,0,0.0,7,1.5,0,0.6,0.0108,0.0,0.625
35.0,0.31,0.22,0.5482,35.0,45,3,0.0,12,1.5,0,0.5,0.0091,0.6,0.113
45.0,0.64,2.0,0.5837,45.0,15,4,1.0,2,2.5,0,0.0,0.0,0.66,0.267
45.0,0.57,0.22,0.6016,45.0,30,4,0.0,5,1.5,0,0.6,0.0074,0.6,0.113
35.0,0.55,2.0,0.4171,35.0,30,9,0.0,2,2.5,0,1.0,0.0082,0.74,0.267
45.0,0.66,1.1,0.4547,45.0,70,4,0.0,5,2.0,0,0.8,0.0107,0.43,0.625
35.0,0.0,0.22,0.4378,35.0,30,0,0.0,2,2.5,0,1.0,0.0085,0.0,0.113
35.0,0.45,1.1,0.4316,35.0,45,6,1.0,1,2.0,0,0.0,0.0,0.7,0.625
45.0,0.62,0.22,0.1053,45.0,0,12,0.0,31,0.0,20,0.4,0.0128,0.47,0.113
25.0,0.39,0.22,0.3196,25.0,0,2,0.0,6,0.0,10,0.5,0.0146,0.63,0.113
35.0,0.49,0.22,0.2035,35.0,0,3,0.0,38,0.0,30,0.6,0.0138,0.62,0.113
45.0,0.46,0.22,0.2247,45.0,0,4,0.0,14,0.0,10,0.6,0.0147,0.74,0.113
25.0,0.5,0.22,0.176,25.0,0,6,0.0,13,0.0,10,0.5,0.0121,0.66,0.113
35.0,0.5,0.22,0.2392,35.0,0,6,0.0,39,0.0,40,0.3,0.0148,0.67,0.113
45.0,0.0,0.22,0.044,45.0,0,0,1.0,2,0.0,0,0.0,0.0,0.0,0.113
45.0,0.57,0.22,0.3707,45.0,0,12,0.0,11,0.0,20,0.5,0.0109,0.51,0.113
25.0,0.83,0.22,0.4744,25.0,0,2,0.0,4,0.0,20,0.5,0.0034,0.27,0.113
35.0,0.74,0.22,0.1504,35.0,0,9,0.0,22,0.0,20,0.6,0.0144,0.5,0.113
45.0,0.51,0.22,0.044,45.0,0,8,1.0,2,0.0,0,0.0,0.0,0.79,0.113
45.0,0.55,0.22,0.3827,45.0,0,4,0.0,11,0.0,20,0.5,0.0152,0.37,0.113
45.0,0.0,0.22,0.2335,45.0,0,0,0.0,24,0.0,20,0.5,0.0152,0.0,0.113
45.0,0.58,0.22,0.2256,45.0,0,8,0.0,12,0.0,10,0.3,0.0135,0.4,0.113
35.0,0.7,0.22,0.6176,35.0,0,6,0.0001,8,0.0,30,0.6,0.044,0.48,0.113
45.0,0.0,0.22,0.2972,45.0,0,0,0.0,21,0.0,30,0.5,0.0137,0.0,0.113
45.0,0.58,0.22,0.1315,45.0,0,4,0.0,37,0.0,30,0.5,0.0136,0.72,0.113
25.0,0.43,0.22,0.7016,25.0,0,2,0.0001,10,0.0,20,0.4,0.0864,0.42,0.113
35.0,0.55,0.22,0.6188,35.0,0,9,0.0,7,0.0,30,0.6,0.0137,0.4,0.113
25.0,0.55,0.22,0.7128,25.0,0,6,0.0001,5,0.0,20,0.4,0.0511,0.69,0.113
45.0,0.66,0.22,0.1047,45.0,0,12,0.0,29,0.0,20,0.5,0.0135,0.6,0.113
35.0,0.6,0.22,0.4994,35.0,0,9,0.0,7,0.0,20,0.6,0.0127,0.57,0.113
35.0,0.61,0.22,0.3471,35.0,0,9,1.0,2,0.0,10,0.0,0.0,0.52,0.113
35.0,0.62,0.22,0.0563,35.0,0,3,1.0,2,0.0,0,0.0,0.0,0.65,0.113
35.0,0.65,0.22,0.0563,35.0,0,6,1.0,2,0.0,0,0.0,0.0,0.59,0.113
45.0,0.43,0.22,0.3737,45.0,0,8,0.0,12,0.0,20,0.3,0.036,0.48,0.113
25.0,0.26,0.22,0.5272,25.0,0,2,0.0,2,0.0,20,1.0,0.014,0.54,0.113
35.0,0.44,0.22,0.3276,35.0,0,9,0.0,7,0.0,10,0.6,0.0133,0.51,0.113
25.0,0.4,0.22,0.3572,25.0,0,4,0.0122,4,0.0,10,0.8,0.2914,0.26,0.113
35.0,0.64,0.22,0.4386,35.0,0,3,0.0,9,0.0,30,0.3,0.0124,0.66,0.113
35.0,0.55,0.22,0.2386,35.0,0,3,0.0099,37,0.0,40,0.6,0.4829,0.73,0.113
35.0,0.82,0.22,0.2327,35.0,0,6,0.0,29,0.0,40,0.5,0.0121,0.56,0.113
45.0,0.0,0.22,0.35,45.0,0,0,0.0,22,0.0,40,0.6,0.0157,0.0,0.113
35.0,0.52,0.22,0.4433,35.0,0,6,0.0,5,0.0,30,0.6,0.0126,0.7,0.113
25.0,0.63,0.22,0.0784,25.0,0,2,0.0,2,0.0,0,1.0,0.0004,0.47,0.113
25.0,0.74,0.22,0.2408,25.0,0,4,0.0,13,0.0,20,0.5,0.0122,0.27,0.113
45.0,0.0,0.22,0.129,45.0,0,0,0.0,33,0.0,30,0.6,0.0138,0.0,0.113
25.0,0.49,0.22,0.1684,25.0,0,2,0.0,8,0.0,10,0.5,0.0092,0.55,0.113
25.0,0.5,0.22,0.0784,25.0,0,4,0.0,2,0.0,0,1.0,0.0004,0.47,0.113
35.0,0.58,0.22,0.1973,35.0,0,9,0.0,37,0.0,30,0.5,0.0146,0.46,0.113
25.0,0.63,0.22,0.0784,25.0,0,6,0.0,2,0.0,0,1.0,0.0004,0.54,0.113
25.0,0.94,0.22,0.3384,25.0,0,2,0.0,12,0.0,30,0.4,0.0303,0.91,0.113
