width,height,number_dynamic_obstacles,average_obstalce_size,map_size,average_linear_velocity,occupancy_ratio,entropy
45.0,45.0,8,0.39,4050,0.46,0.2314,0.0408
45.0,45.0,0,0.0,4050,0.0,0.2279,0.0416
45.0,45.0,0,0.0,4050,0.0,0.4658,0.0324
35.0,35.0,0,0.0,2450,0.0,0.1069,0.0295
25.0,25.0,4,0.59,1250,0.91,0.0784,0.0163
45.0,45.0,12,0.49,4050,0.52,0.4722,0.0315
25.0,25.0,0,0.0,1250,0.0,0.6696,0.0083
35.0,35.0,9,0.51,2450,0.44,0.0563,0.0295
45.0,45.0,4,0.65,4050,0.58,0.044,0.0454
25.0,25.0,4,0.54,1250,0.47,0.0784,0.0163
45.0,45.0,8,0.56,4050,0.7,0.1049,0.0455
35.0,35.0,0,0.0,2450,0.0,0.0563,0.0295
25.0,25.0,2,0.23,1250,0.63,0.6308,0.0093
35.0,35.0,9,0.52,2450,0.48,0.0563,0.0295
35.0,35.0,3,0.54,2450,0.45,0.4182,0.0228
45.0,45.0,4,0.54,4050,0.61,0.0717,0.0456
45.0,45.0,8,0.57,4050,0.57,0.132,0.0454
45.0,45.0,0,0.0,4050,0.0,0.1315,0.0454
45.0,45.0,12,0.59,4050,0.66,0.1305,0.0453
25.0,25.0,2,0.51,1250,0.64,0.5624,0.0101
35.0,35.0,0,0.0,2450,0.0,0.4241,0.0221
45.0,45.0,12,0.57,4050,0.59,0.3488,0.0368
35.0,35.0,9,0.5,2450,0.57,0.3867,0.0238
45.0,45.0,8,0.35,4050,0.61,0.5548,0.0289
45.0,45.0,0,0.0,4050,0.0,0.6138,0.026
45.0,45.0,8,0.49,4050,0.52,0.5235,0.0307
35.0,35.0,0,0.0,2450,0.0,0.4214,0.0226
25.0,25.0,0,0.0,1250,0.0,0.3912,0.0132
35.0,35.0,0,0.0,2450,0.0,0.4414,0.0213
25.0,25.0,6,0.46,1250,0.57,0.4568,0.0119
25.0,25.0,6,0.55,1250,0.52,0.4624,0.0119
35.0,35.0,6,0.61,2450,0.66,0.4714,0.0219
25.0,25.0,2,0.26,1250,0.68,0.404,0.0127
45.0,45.0,0,0.0,4050,0.0,0.6162,0.0256
45.0,45.0,4,0.41,4050,0.65,0.4864,0.0317
45.0,45.0,0,0.0,4050,0.0,0.5802,0.0272
35.0,35.0,0,0.0,2450,0.0,0.3365,0.025
25.0,25.0,0,0.0,1250,0.0,0.2636,0.0147
45.0,45.0,12,0.57,4050,0.51,0.639,0.0249
45.0,45.0,4,0.59,4050,0.35,0.3951,0.0349
25.0,25.0,0,0.0,1250,0.0,0.4232,0.013
