robot_max_speed,robot_radius,success_rate,collision_rate,average_collision_amount,timeout_rate,timeout_collision_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,dyn_obstacle_occupation,crowdnav,dwa,rlca,teb
2,0.267,0.57,0.4,0.6,0.03,0.23,60.08,2637776669302.43,50,50,0,0,0,1,10,2,0,135.0,0.016,1250,2.3219,14,0.1784,0.5,0.0124,0.0,0.67,0.37,2,1,1,0,0,0
1.1,0.625,0.3,0.7,9.37,0.0,0.23,233.9,2519840002518.4,70,90,1,70,4,0,0,0,0,240.0,0.0299,3150,2.3219,8,0.3527,0.6,0.0083,0.0,0.64,0.58,9,5,0,0,1,0
0.22,0.113,0.3,0.7,16.67,0.0,0.27,278.64,2117946668784.13,90,90,1,45,3,0,0,0,0,276.9231,0.0274,4050,2.3219,7,0.5701,0.6,0.0144,0.0,0.61,0.52,8,4,0,0,1,0
0.22,0.113,0.3,0.7,24.9,0.0,0.2,384.23,2235223335567.57,90,90,1,15,3,0,0,0,0,180.0,0.0184,4050,2.3219,2,0.7398,0.0,0.0,1.0,0.73,0.59,12,7,0,0,1,0
0.22,0.113,0.6,0.37,0.67,0.03,0.07,73.9,1885933335218.67,90,70,1,15,4,0,0,0,0,180.0,0.0185,3150,2.3219,2,0.6465,0.0,0.0,1.0,0.63,0.77,3,2,1,0,0,0
2,0.267,0.5,0.5,0.67,0.0,0.1,54.48,1908556668574.23,50,50,0,0,0,1,10,4,0,313.0435,0.0145,1250,2.3219,5,0.296,0.4,0.022,0.0,0.63,0.51,6,3,1,0,0,0
2,0.267,0.33,0.67,1.97,0.0,0.27,87.0,3124250003123.5,70,70,0,0,0,1,10,4,0,80.0,0.0273,2450,2.3219,14,0.2076,0.6,0.0113,0.0,0.61,0.58,6,4,1,0,0,0
0.22,0.113,0.67,0.27,5.83,0.07,0.07,111.11,1525830001524.3,70,50,1,45,5,0,0,0,0,180.0,0.0191,1750,2.3219,4,0.2797,0.5,0.0039,0.0,0.0,0.0,0,0,0,0,1,0
1.1,0.625,0.3,0.7,4.07,0.0,0.13,85.66,1513920001513.2,70,90,0,0,0,1,30,6,0,308.5714,0.0207,3150,2.3219,6,0.614,0.7,0.0113,0.0,0.42,0.43,9,4,0,0,1,0
2,0.267,0.63,0.0,0.0,0.37,0.0,38.54,2568986669232.53,70,50,1,15,5,0,0,0,0,180.0,0.0126,1750,2.3219,2,0.5891,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0
